"code","text","airline","estimated departure","departure","arrival","destination"
"A320","Airbus A320-211","Lufthansa","Estimated dep 10:50",2024-02-26 10:40:00,2024-02-26 11:55:00,"Frankfurt Airport"
"A320","Airbus A320-214","Swiss","Estimated dep 10:58",2024-02-26 10:50:00,2024-02-26 12:20:00,"Zurich Airport"
"A320","Airbus A320-232","Vueling (Disneyland Paris - 25 Years Livery)","Estimated dep 10:59",2024-02-26 10:50:00,2024-02-26 13:25:00,"Barcelona El Prat Airport"
"A320","Airbus A320-214","Eurowings","Estimated dep 11:00",2024-02-26 11:00:00,2024-02-26 12:10:00,"Stuttgart Airport"
"B738","Boeing 737-8AS","Ryanair","Estimated dep 11:00",2024-02-26 11:00:00,2024-02-26 14:45:00,"Lisbon Humberto Delgado Airport"
"B738","Boeing 737-8AS","Ryanair","Estimated dep 11:09",2024-02-26 11:00:00,2024-02-26 16:05:00,"Fuerteventura Airport"
"A320","Airbus A320-214","Lufthansa","Estimated dep 11:08",2024-02-26 11:00:00,2024-02-26 12:10:00,"Munich Airport"
"A320","Airbus A320-214","Volotea","Estimated dep 11:51",2024-02-26 11:00:00,2024-02-26 12:30:00,"Strasbourg Airport"
"A320","Airbus A320-232","British Airways","Estimated dep 11:12",2024-02-26 11:05:00,2024-02-26 13:10:00,"London Heathrow Airport"
"B738","Boeing 737-8AS","Ryanair","Estimated dep 11:19",2024-02-26 11:10:00,2024-02-26 14:55:00,"Faro Airport"
"A321","Airbus A321-231","Turkish Airlines (EuroLeague Livery)","Estimated dep 11:19",2024-02-26 11:10:00,2024-02-26 14:05:00,"Istanbul Airport"
"E75S","Embraer E175STD","LOT","Estimated dep 11:26",2024-02-26 11:15:00,2024-02-26 12:30:00,"Warsaw Chopin Airport"
"A320","Airbus A320-214","easyJet","Estimated dep 11:32",2024-02-26 11:15:00,2024-02-26 16:40:00,"Tenerife South Airport"
"A320","Airbus A320-214","Austrian Airlines","Estimated dep 11:20",2024-02-26 11:20:00,2024-02-26 12:35:00,"Vienna International Airport"
"A319","Airbus A319-111","easyJet","Estimated dep 11:41",2024-02-26 11:25:00,2024-02-26 14:25:00,"Valencia Airport"
"A20N","Airbus A320-251N","Play","Estimated dep 11:30",2024-02-26 11:30:00,2024-02-26 15:20:00,"Keflavik International Airport"
"A320","Airbus A320-214","Eurowings","Estimated dep 11:35",2024-02-26 11:35:00,2024-02-26 16:55:00,"Tenerife South Airport"
"A21N","Airbus A321-271NX","Aegean Airlines","Estimated dep 11:40",2024-02-26 11:40:00,2024-02-26 14:25:00,"Athens Eleftherios Venizelos"
"B738","Boeing 737-8AS","Ryanair","Estimated dep 11:40",2024-02-26 11:40:00,2024-02-26 13:30:00,"London Stansted Airport"
"A320","Airbus A320-214","Lufthansa","Estimated dep 11:40",2024-02-26 11:40:00,2024-02-26 12:55:00,"Frankfurt Airport"
"A319","Airbus A319-111","easyJet","Estimated dep 11:40",2024-02-26 11:40:00,2024-02-26 13:45:00,"Bristol Airport"
"A21N","Airbus A321-251NX","Iberia Express","Estimated dep 11:56",2024-02-26 11:45:00,2024-02-26 15:00:00,"Madrid Barajas Airport"
"A20N","Airbus A320-251N","SAS","Estimated dep 11:45",2024-02-26 11:45:00,2024-02-26 13:25:00,"Stockholm Arlanda Airport"
"B738","Boeing 737-8K2","KLM","Estimated dep 12:00",2024-02-26 11:50:00,2024-02-26 13:15:00,"Amsterdam Schiphol Airport"
"E190","Embraer E190SR","British Airways","Estimated dep 11:58",2024-02-26 11:55:00,2024-02-26 13:40:00,"London City Airport"
"A320","Airbus A320-214","Brussels Airlines (Tintin comics Livery)","Estimated dep 12:25",2024-02-26 11:55:00,2024-02-26 13:20:00,"Brussels Airport"
"A21N","Airbus A321-251NX","Pegasus","Estimated dep 12:08",2024-02-26 12:00:00,2024-02-26 14:50:00,"Istanbul Sabiha Gokcen International Airport"
